,open_score,close_score,date,Date,Open,High,Low,Close,Adj Close,Volume
0,0.0,-0.016666666666666666,2015-04-27,2015-04-27,2.3,2.36,2.29,2.34,2.34,13486900
1,-0.008597883597883601,0.0,2015-04-28,2015-04-28,2.36,2.37,2.31,2.31,2.31,11448700
2,0.0,0.0,2015-04-29,2015-04-29,2.3,2.33,2.27,2.28,2.28,11870200
3,0.0,0.0,2015-04-30,2015-04-30,2.28,2.31,2.26,2.26,2.26,11465300
4,0.09090909090909093,0.0,2015-05-01,2015-05-01,2.26,2.31,2.25,2.31,2.31,11662800
5,0.1566137566137566,0.0,2015-05-04,2015-05-04,2.31,2.36,2.3,2.31,2.31,9670100
6,0.1,-0.02,2015-05-05,2015-05-05,2.34,2.34,2.25,2.28,2.28,12371600
7,0.0,0.0125,2015-05-06,2015-05-06,2.29,2.31,2.24,2.29,2.29,18492100
8,-0.10416666666666667,0.26666666666666666,2015-05-07,2015-05-07,2.32,2.32,2.26,2.32,2.32,15015600
9,0.0,0.4,2015-05-08,2015-05-08,2.33,2.36,2.3,2.31,2.31,9758800
10,0.02462121212121212,0.2,2015-05-11,2015-05-11,2.31,2.35,2.31,2.32,2.32,10046900
11,0.18666666666666668,0.0,2015-05-12,2015-05-12,2.32,2.35,2.3,2.35,2.35,10017500
12,0.0,0.0,2015-05-13,2015-05-13,2.36,2.38,2.35,2.37,2.37,7575900
13,0.15416666666666667,0.0,2015-05-14,2015-05-14,2.38,2.39,2.33,2.33,2.33,8865100
14,0.16666666666666666,0.06493506493506494,2015-05-15,2015-05-15,2.33,2.38,2.32,2.32,2.32,8054800
15,0.30999999999999994,0.0,2015-05-18,2015-05-18,2.35,2.36,2.33,2.35,2.35,4732800
16,0.18851851851851853,0.1304347826086957,2015-05-19,2015-05-19,2.36,2.37,2.28,2.28,2.28,9588400
17,0.027272727272727268,0.0,2015-05-20,2015-05-20,2.3,2.33,2.28,2.32,2.32,6947700
18,0.0,0.0,2015-05-21,2015-05-21,2.31,2.35,2.28,2.28,2.28,7127700
19,0.0,0.0,2015-05-22,2015-05-22,2.3,2.31,2.27,2.28,2.28,12845400
20,0.0,0.0,2015-05-26,2015-05-26,2.27,2.28,2.22,2.22,2.22,10007800
21,0.24000000000000005,0.0,2015-05-27,2015-05-27,2.24,2.28,2.2,2.28,2.28,17511000
22,0.0,0.19616477272727276,2015-05-28,2015-05-28,2.28,2.33,2.27,2.27,2.27,12354600
23,0.30000000000000004,0.43333333333333335,2015-05-29,2015-05-29,2.27,2.32,2.25,2.28,2.28,7750500
24,-0.008333333333333333,0.1,2015-06-01,2015-06-01,2.29,2.3,2.25,2.25,2.25,6803700
25,0.22000000000000006,0.03409090909090909,2015-06-02,2015-06-02,2.26,2.3,2.25,2.3,2.3,7106000
26,0.210551948051948,0.2273809523809524,2015-06-03,2015-06-03,2.3,2.32,2.28,2.28,2.28,8062300
27,0.08000000000000003,0.16666666666666666,2015-06-04,2015-06-04,2.28,2.33,2.26,2.33,2.33,11575800
28,0.0975,0.8,2015-06-05,2015-06-05,2.31,2.34,2.29,2.33,2.33,7349700
29,0.2921666666666667,0.0,2015-06-08,2015-06-08,2.31,2.33,2.29,2.31,2.31,6212900
30,0.3,0.3333333333333333,2015-06-09,2015-06-09,2.35,2.36,2.28,2.29,2.29,12282700
31,0.096875,0.17708333333333334,2015-06-10,2015-06-10,2.31,2.35,2.3,2.32,2.32,8161200
32,0.11666666666666665,0.25,2015-06-11,2015-06-11,2.34,2.35,2.31,2.32,2.32,7671000
33,0.13833333333333336,0.11875,2015-06-12,2015-06-12,2.31,2.33,2.3,2.31,2.31,4557600
34,0.15000000000000002,0.0,2015-06-15,2015-06-15,2.32,2.35,2.29,2.32,2.32,8627800
35,0.125,0.0,2015-06-16,2015-06-16,2.32,2.37,2.32,2.35,2.35,9795000
36,0.15555555555555556,0.2672727272727273,2015-06-17,2015-06-17,2.37,2.54,2.35,2.47,2.47,27497900
37,0.03125,0.0,2015-06-18,2015-06-18,2.5,2.59,2.48,2.52,2.52,25400200
38,0.3333333333333333,0.03333333333333333,2015-06-19,2015-06-19,2.53,2.59,2.46,2.58,2.58,25551700
39,0.3333333333333334,0.25,2015-06-22,2015-06-22,2.61,2.67,2.58,2.62,2.62,19410100
40,0.0,0.5,2015-06-23,2015-06-23,2.62,2.64,2.55,2.61,2.61,17919600
41,0.3,0.2175,2015-06-24,2015-06-24,2.6,2.66,2.57,2.62,2.62,17516700
42,0.17142857142857146,0.2623376623376624,2015-06-25,2015-06-25,2.62,2.66,2.57,2.58,2.58,18360200
43,0.0,0.25,2015-06-26,2015-06-26,2.54,2.55,2.37,2.47,2.47,97054200
44,0.44375,0.03333333333333333,2015-06-29,2015-06-29,2.41,2.42,2.31,2.34,2.34,22971500
45,0.25,0.5,2015-06-30,2015-06-30,2.43,2.43,2.35,2.4,2.4,19381300
